14-07-2023 10:50:47 :: Abrindo URL
14-07-2023 10:51:03 :: Iniciando a coleta
14-07-2023 10:51:11 :: ADD - {'position': '70', 'movie': 'Dr Fantástico', 'year': '1964', 'duration': '1h 35m', 'rating': '10', 'rate': '8.4', 'history_id': 11}
14-07-2023 10:51:11 :: ADD - {'position': '71', 'movie': 'Bastardos Inglórios', 'year': '2009', 'duration': '2h 33m', 'rating': '18', 'rate': '8.3', 'history_id': 11}
14-07-2023 10:51:11 :: ADD - {'position': '72', 'movie': 'Oldboy', 'year': '2003', 'duration': '2h', 'rating': '16', 'rate': '8.4', 'history_id': 11}
14-07-2023 10:51:11 :: ADD - {'position': '73', 'movie': 'Viva: A Vida é uma Festa', 'year': '2017', 'duration': '1h 45m', 'rating': 'Livre', 'rate': '8.4', 'history_id': 11}
14-07-2023 10:51:11 :: ADD - {'position': '74', 'movie': 'Amadeus', 'year': '1984', 'duration': '2h 40m', 'rating': 'Livre', 'rate': '8.4', 'history_id': 11}
14-07-2023 10:51:11 :: ADD - {'position': '75', 'movie': 'Toy Story', 'year': '1995', 'duration': '1h 21m', 'rating': 'Livre', 'rate': '8.3', 'history_id': 11}
14-07-2023 10:51:11 :: ADD - {'position': '76', 'movie': 'Coração Valente', 'year': '1995', 'duration': '2h 58m', 'rating': '16', 'rate': '8.3', 'history_id': 11}
14-07-2023 10:51:11 :: ADD - {'position': '77', 'movie': 'O Barco: Inferno no Mar', 'year': '1981', 'duration': '2h 29m', 'rating': '14', 'rate': '8.4', 'history_id': 11}
14-07-2023 10:51:11 :: ADD - {'position': '78', 'movie': 'Coringa', 'year': '2019', 'duration': '2h 2m', 'rating': '16', 'rate': '8.4', 'history_id': 11}
14-07-2023 10:51:12 :: ADD - {'position': '79', 'movie': 'Vingadores: Ultimato', 'year': '2019', 'duration': '3h 1m', 'rating': '12', 'rate': '8.4', 'history_id': 11}
14-07-2023 10:51:12 :: ADD - {'position': '80', 'movie': 'Princesa Mononoke', 'year': '1997', 'duration': '2h 14m', 'rating': '12', 'rate': '8.3', 'history_id': 11}
14-07-2023 10:51:12 :: ADD - {'position': '81', 'movie': 'Gênio Indomável', 'year': '1997', 'duration': '2h 6m', 'rating': '14', 'rate': '8.3', 'history_id': 11}
14-07-2023 10:51:12 :: ADD - {'position': '82', 'movie': 'Era uma Vez na América', 'year': '1984', 'duration': '3h 49m', 'rating': '18', 'rate': '8.3', 'history_id': 11}
14-07-2023 10:51:12 :: ADD - {'position': '83', 'movie': 'Your Name', 'year': '2016', 'duration': '1h 46m', 'rating': 'Livre', 'rate': '8.4', 'history_id': 11}
14-07-2023 10:51:12 :: ADD - {'position': '84', 'movie': '3 Idiotas', 'year': '2009', 'duration': '2h 50m', 'rating': '12', 'rate': '8.4', 'history_id': 11}
14-07-2023 10:51:12 :: ADD - {'position': '85', 'movie': 'Cantando na Chuva', 'year': '1952', 'duration': '1h 43m', 'rating': 'Livre', 'rate': '8.3', 'history_id': 11}
14-07-2023 10:51:12 :: ADD - {'position': '86', 'movie': 'Céu E Inferno', 'year': '1963', 'duration': '2h 23m', 'rating': 'Not Rated', 'rate': '8.4', 'history_id': 11}
14-07-2023 10:51:12 :: ADD - {'position': '87', 'movie': 'Réquiem para um Sonho', 'year': '2000', 'duration': '1h 42m', 'rating': '18', 'rate': '8.3', 'history_id': 11}
14-07-2023 10:51:12 :: ADD - {'position': '88', 'movie': 'Cafarnaum', 'year': '2018', 'duration': '2h 6m', 'rating': '16', 'rate': '8.4', 'history_id': 11}
14-07-2023 10:51:13 :: ADD - {'position': '89', 'movie': 'Toy Story 3', 'year': '2010', 'duration': '1h 43m', 'rating': 'Livre', 'rate': '8.3', 'history_id': 11}
14-07-2023 10:51:13 :: ADD - {'position': '90', 'movie': 'Star Wars, Episódio VI: O Retorno do Jedi', 'year': '1983', 'duration': '2h 11m', 'rating': 'Livre', 'rate': '8.3', 'history_id': 11}
14-07-2023 10:51:13 :: ADD - {'position': '91', 'movie': 'Vá e Veja', 'year': '1985', 'duration': '2h 22m', 'rating': '18', 'rate': '8.4', 'history_id': 11}
14-07-2023 10:51:13 :: ADD - {'position': '92', 'movie': 'Brilho Eterno de uma Mente sem Lembranças', 'year': '2004', 'duration': '1h 48m', 'rating': '14', 'rate': '8.3', 'history_id': 11}
